,repo_name,repo_lang
0,onebitfoodV2-api,Ruby
1,onebitfoodV2-nextjs,JavaScript
2,onebitlife,JavaScript
3,OneBitMessage,
4,onebitmessenger,Ruby
5,onebitshop-marketplace-front,TypeScript
6,product_python,Python
7,programador-homeoffice-api,Ruby
8,programador-homeoffice-frontend,JavaScript
9,programmer_hub,Ruby
10,reactnative-marketplace,JavaScript
11,recoil-react,JavaScript
12,rent_cars,Ruby
13,restaurant-reviews-api,TypeScript
14,ruby_twitter,Ruby
15,smartphone_store,Ruby
16,spotcode,Ruby
17,SpotcodeV2,Ruby
18,toms-jazz-school,CSS
19,Web-Scraping-Target,Ruby
20,yt-astro-tailwind-page,Astro
21,yt-bookings-api,JavaScript
22,yt-css-position,HTML
23,yt-intersection-api,HTML
24,yt-next13-newsletter,JavaScript
25,onebitfoodV2-api,Ruby
26,onebitfoodV2-nextjs,JavaScript
27,onebitlife,JavaScript
28,OneBitMessage,
29,onebitmessenger,Ruby
30,onebitshop-marketplace-front,TypeScript
31,product_python,Python
32,programador-homeoffice-api,Ruby
33,programador-homeoffice-frontend,JavaScript
34,programmer_hub,Ruby
35,reactnative-marketplace,JavaScript
36,recoil-react,JavaScript
37,rent_cars,Ruby
38,restaurant-reviews-api,TypeScript
39,ruby_twitter,Ruby
40,smartphone_store,Ruby
41,spotcode,Ruby
42,SpotcodeV2,Ruby
43,toms-jazz-school,CSS
44,Web-Scraping-Target,Ruby
45,yt-astro-tailwind-page,Astro
46,yt-bookings-api,JavaScript
47,yt-css-position,HTML
48,yt-intersection-api,HTML
49,yt-next13-newsletter,JavaScript
